genus,family,order,class
Herpestes,Herpestidae,Rodentia,Mammalia
Tupaia,Tupaiidae,Rodentia,Mammalia
Dromiciops,Microbiotheriidae,Rodentia,Mammalia
Dryomys,Gliridae,Rodentia,Mammalia
Otomys,Muridae,Rodentia,Mammalia
Transandinomys,Cricetidae,Rodentia,Mammalia
Tylomys,Cricetidae,Rodentia,Mammalia
Cervus,Cervidae,Rodentia,Mammalia
Petaurus,Petauridae,Rodentia,Mammalia
Chelemys,Cricetidae,Rodentia,Mammalia
Hemiechinus,Erinaceidae,Rodentia,Mammalia
Andinomys,Cricetidae,Rodentia,Mammalia
Bolomys,Cricetidae,Rodentia,Mammalia
Cercopithecus,Cercopithecidae,Rodentia,Mammalia
Alces,Cervidae,Rodentia,Mammalia
Dasymys,Muridae,Rodentia,Mammalia
Cerdocyon,Canidae,Rodentia,Mammalia
Mirounga,Phocidae,Rodentia,Mammalia
Trichechus,Trichechidae,Rodentia,Mammalia
Ctenodactylus,Ctenodactylidae,Rodentia,Mammalia
Hippotherium,NA,Rodentia,NA
Phocoenoides,Phocoenidae,Rodentia,Mammalia
Dendrohyrax,Procaviidae,Rodentia,Mammalia
Oreamnos,Bovidae,Rodentia,Mammalia
Callosciurus,Sciuridae,Rodentia,Mammalia
Alouatta,Atelidae,Rodentia,Mammalia
Lissodelphis,Delphinidae,Rodentia,Mammalia
Talpa,Talpidae,Rodentia,Mammalia
Pseudocheirus,Pseudocheiridae,Rodentia,Mammalia
Bison,Bovidae,Rodentia,Mammalia
Irenomys,Cricetidae,Rodentia,Mammalia
Pedetes,Pedetidae,Rodentia,Mammalia
Pygeretmus,Dipodidae,Rodentia,Mammalia
Trinomys,Echimyidae,Rodentia,Mammalia
Nephelomys,Cricetidae,Rodentia,Mammalia
Caluromys,Didelphidae,Rodentia,Mammalia
Napeozapus,NA,Rodentia,NA
Lagurus,Cricetidae,Rodentia,Mammalia
Gracilinanus,Didelphidae,Rodentia,Mammalia
Rangifer,Cervidae,Rodentia,Mammalia
Microcavia,Caviidae,Rodentia,Mammalia
Colobus,Cercopithecidae,Rodentia,Mammalia
Paraxerus,Sciuridae,Rodentia,Mammalia
Delphinapterus,Monodontidae,Rodentia,Mammalia
Graphiurus,Gliridae,Rodentia,Mammalia
Dolichotis,Caviidae,Rodentia,Mammalia
Leopardus,Felidae,Rodentia,Mammalia
Procavia,Procaviidae,Rodentia,Mammalia
Choloepus,Megalonychidae,Rodentia,Mammalia
Dusicyon,Canidae,Rodentia,Mammalia
Bovidae,Bovidae,Rodentia,Mammalia
Mesomys,Echimyidae,Rodentia,Mammalia
Papio,Cercopithecidae,Rodentia,Mammalia
Cerradomys,Cricetidae,Rodentia,Mammalia
Evotomys,NA,Rodentia,NA
Microryzomys,Cricetidae,Rodentia,Mammalia
Saccostomus,Nesomyidae,Rodentia,Mammalia
Arctocephalus,Otariidae,Rodentia,Mammalia
Bovoidea,NA,Rodentia,NA
Cardiocranius,Dipodidae,Rodentia,Mammalia
