eventID,country,locality,yearCollected,samplingProtocol,materialSampleID,basisOfRecord,scientificName,diagnosticID,measurementMethod,measurementUnit,measurementType,measurementValue,verbatimEventDate,catalogNumber,references,individualID,collectionCode,institutionCode,lifeStage,measurementRemarks,measurementDeterminedDate,measurementAccuracy,materialSampleType,decimalLatitude,decimalLongitude,verbatimLocality,verbatimLatitude,verbatimLongitude,verbatimElevation,verbatimDepth,minimumDepthInMeters,minimumElevationInMeters,maximumElevationInMeters,maximumDepthInMeters,latestAgeOrHighestStage,latestEonOrHighestEonotheme,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,group,formation,member,minimumChronometricAge,minimumChronometricAgeReferenceSystem,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,eventRemarks,culturalRegions,culturalContext,bed,culturalOccupationPeriod,culturalAffiliations,coordinateUncertaintyInMeters,chronometricAgeUncertaintyInYears,chronometricAgeUncertaintyMethod,chronometricAgeProtocol,chronometricAgeID,lithostratigraphicTerms,maximumChronometricAge,maximumChronometricAgeReferenceSystem,geologicalContextID,lowestBiostratigraphicZone,highestBiostratigraphicZone,stateProvince,waterBody,islandGroup,island,institutionID,datasetName,dynamicProperties,fieldNumber,informationWithheld,verbatimLifeStage,occurrenceID,otherCatalogNumbers,previousIdentifications,sex,measurementSide,measurementDeterminedBy,materialSampleCondition,ageEstimationMethod,ageUnit,ageValue,reproductiveCondition,verbatimAgeValue,Diagnostics_bcid,Event_bcid,Sample_bcid,expeditionCode,projectId
63c16d819741475b944444393e2f3244,Unknown,Tizi'n Tadderht,unknown,Unknown,63c16d819741475b944444393e2f3244,FossilSpecimen,Hippotherium primigeneium,354,Unknown,mm,calcaneus length,111,,,,HoC146,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,10.3,mya,,,,,,,,,,,,,,,,,,10.3,mya,,,,,,,,,,,,,,,,,female,,,,,,,,10.3,https://n2t.net/ark:/21547/DbL2354,https://n2t.net/ark:/21547/DbJ263c16d819741475b944444393e2f3244,https://n2t.net/ark:/21547/DbK263c16d819741475b944444393e2f3244,FEBG,314
641c8424_936c_4b14_9ba4_06bc6bf2b010,Unknown,Hoewenegg,unknown,Unknown,641c8424_936c_4b14_9ba4_06bc6bf2b010,FossilSpecimen,Hippotherium primigeneium,361,Unknown,in,talus length,59.5,Unknown,,,HoA54,,,,,,,,,,Hoewenegg,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,male,,,,,,,,10.3,https://n2t.net/ark:/21547/Doi2361,https://n2t.net/ark:/21547/Dog2641c8424_936c_4b14_9ba4_06bc6bf2b010,https://n2t.net/ark:/21547/Doh2641c8424_936c_4b14_9ba4_06bc6bf2b010,EBSS,314
641c8424_936c_4b14_9ba4_06bc6bf2b010,Unknown,Hoewenegg,unknown,Unknown,641c8424_936c_4b14_9ba4_06bc6bf2b010,FossilSpecimen,Hippotherium primigeneium,2584,Unknown,in,talus width,61,Unknown,,,HoA54,,,,,,,,,,Hoewenegg,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,male,,,,,,,,10.3,https://n2t.net/ark:/21547/Doi22584,https://n2t.net/ark:/21547/Dog2641c8424_936c_4b14_9ba4_06bc6bf2b010,https://n2t.net/ark:/21547/Doh2641c8424_936c_4b14_9ba4_06bc6bf2b010,EBSS,314
641ea570_f952_48a5_9cd9_f836da8355c0,Unknown,Rancho LaBrea,unknown,Unknown,641ea570_f952_48a5_9cd9_f836da8355c0,FossilSpecimen,Equus occidentalis,13,Unknown,in,talus length,69.8,Unknown,,,LACMZ3425,,,,,,,,,,Rancho LaBrea,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,0.02,https://n2t.net/ark:/21547/Doi213,https://n2t.net/ark:/21547/Dog2641ea570_f952_48a5_9cd9_f836da8355c0,https://n2t.net/ark:/21547/Doh2641ea570_f952_48a5_9cd9_f836da8355c0,EBSS,314
641ea570_f952_48a5_9cd9_f836da8355c0,Unknown,Rancho LaBrea,unknown,Unknown,641ea570_f952_48a5_9cd9_f836da8355c0,FossilSpecimen,Equus occidentalis,2373,Unknown,in,talus width,73.2,Unknown,,,LACMZ3425,,,,,,,,,,Rancho LaBrea,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,0.02,https://n2t.net/ark:/21547/Doi22373,https://n2t.net/ark:/21547/Dog2641ea570_f952_48a5_9cd9_f836da8355c0,https://n2t.net/ark:/21547/Doh2641ea570_f952_48a5_9cd9_f836da8355c0,EBSS,314
64608db4c87c4beca7ea316cdbc047eb,Unknown,Akkasdagi,unknown,Unknown,64608db4c87c4beca7ea316cdbc047eb,FossilSpecimen,Hippotherium primigeneium,1774,Unknown,mm,breadth of the trochlea of talus,28.8,,,,HLMD3045,,,,,,,,,,Akkasdagi,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10,https://n2t.net/ark:/21547/DbL21774,https://n2t.net/ark:/21547/DbJ264608db4c87c4beca7ea316cdbc047eb,https://n2t.net/ark:/21547/DbK264608db4c87c4beca7ea316cdbc047eb,FEBG,314
64823525_f888_4988_b267_0ed21585c452,Unknown,Hoewenegg,unknown,Unknown,64823525_f888_4988_b267_0ed21585c452,FossilSpecimen,Hippotherium primigeneium,2589,Unknown,in,talus width,62.3,Unknown,,,HoE99,,,,,,,,,,Hoewenegg,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,female,,,,,,,,10.3,https://n2t.net/ark:/21547/Doi22589,https://n2t.net/ark:/21547/Dog264823525_f888_4988_b267_0ed21585c452,https://n2t.net/ark:/21547/Doh264823525_f888_4988_b267_0ed21585c452,EBSS,314
64823525_f888_4988_b267_0ed21585c452,Unknown,Hoewenegg,unknown,Unknown,64823525_f888_4988_b267_0ed21585c452,FossilSpecimen,Hippotherium primigeneium,366,Unknown,in,talus length,59.2,Unknown,,,HoE99,,,,,,,,,,Hoewenegg,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,female,,,,,,,,10.3,https://n2t.net/ark:/21547/Doi2366,https://n2t.net/ark:/21547/Dog264823525_f888_4988_b267_0ed21585c452,https://n2t.net/ark:/21547/Doh264823525_f888_4988_b267_0ed21585c452,EBSS,314
64a6e98c_90d5_4bfa_a3c6_ce588ede3558,Unknown,Nguaso Nyiro,1909,Unknown,64a6e98c_90d5_4bfa_a3c6_ce588ede3558,FossilSpecimen,Equus grevyi,2963,Unknown,in,talus width,63.8,23-Aug-09,,,USNM163331,,,,,,,,,,Nguaso Nyiro,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,female,,,,,,,,0,https://n2t.net/ark:/21547/Doi22963,https://n2t.net/ark:/21547/Dog264a6e98c_90d5_4bfa_a3c6_ce588ede3558,https://n2t.net/ark:/21547/Doh264a6e98c_90d5_4bfa_a3c6_ce588ede3558,EBSS,314
64a6e98c_90d5_4bfa_a3c6_ce588ede3558,Unknown,Nguaso Nyiro,1909,Unknown,64a6e98c_90d5_4bfa_a3c6_ce588ede3558,FossilSpecimen,Equus grevyi,996,Unknown,in,talus length,61,23-Aug-09,,,USNM163331,,,,,,,,,,Nguaso Nyiro,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,female,,,,,,,,0,https://n2t.net/ark:/21547/Doi2996,https://n2t.net/ark:/21547/Dog264a6e98c_90d5_4bfa_a3c6_ce588ede3558,https://n2t.net/ark:/21547/Doh264a6e98c_90d5_4bfa_a3c6_ce588ede3558,EBSS,314
