Akodon lasiurus,{body mass},2
Akodon lasiurus,{ear length to notch},2
Akodon longipilis,{body length},1
Akodon longipilis,{body mass},1
Akodon longipilis,{ear length to notch},1
Akodon longipilis,{tail length},1
Akodon lutescens,{body length},133
Akodon lutescens,{body mass},130
Akodon lutescens,{ear length to notch},133
Akodon lutescens,{tail length},133
Akodon mimus,{body length},57
Akodon mimus,{body mass},57
Akodon mimus,{ear length to notch},57
Akodon mimus,{tail length},57
Akodon molinae,{body length},11
Akodon molinae,{body mass},11
Akodon molinae,{ear length to notch},10
Akodon molinae,{tail length},11
Akodon mollis,{body length},22
Akodon mollis,{body mass},21
Akodon mollis,{ear length to notch},22
Akodon mollis,{tail length},22
Akodon montensis,{body length},52
Akodon montensis,{body mass},52
Akodon montensis,{ear length to notch},51
Akodon montensis,{tail length},52
Akodon nigrita,{ear length to notch},1
Akodon obscurus,{ear length to notch},6
Akodon oenos,{body length},1
Akodon oenos,{body mass},1
Akodon oenos,{ear length to notch},1
Akodon oenos,{tail length},1
Akodon olivaceus,{body length},1
Akodon olivaceus,{body mass},1
Akodon olivaceus,{ear length to notch},1
Akodon olivaceus,{tail length},1
Akodon puer,{body length},15
Akodon puer,{body mass},15
Akodon puer,{ear length to notch},15
Akodon puer,{tail length},15
Akodon simulator,{body length},303
Akodon simulator,{body mass},305
Akodon simulator,{ear length to notch},301
Akodon simulator,{tail length},304
Akodon sp.,{body length},174
Akodon sp.,{body mass},168
Akodon sp.,{ear length to notch},172
Akodon sp.,{tail length},173
Akodon spegazzinii,{body length},12
Akodon spegazzinii,{body mass},12
Akodon spegazzinii,{ear length to notch},12
Akodon spegazzinii,{tail length},12
Akodon subfuscus,{body mass},5
Akodon subfuscus,{lower tooth row length},5
Akodon subfuscus,{upper secondary molar tooth 1 occlusal surface width},5
Akodon sylvanus,{body length},2
Akodon sylvanus,{body mass},2
Akodon sylvanus,{ear length to notch},2
Akodon sylvanus,{tail length},2
Akodon toba,{body length},8
Akodon toba,{body mass},28
Akodon toba,{ear length to notch},28
Akodon toba,{tail length},8
Akodon tucumanensis,{body length},159
Akodon tucumanensis,{body mass},159
Akodon tucumanensis,{ear length to notch},159
Akodon tucumanensis,{tail length},159
Akodon urichi,{body length},2
Akodon urichi,{body mass},2
Akodon urichi,{ear length to notch},2
Akodon urichi,{tail length},2
Akodon varius,{body length},11
Akodon varius,{body mass},11
Akodon varius,{ear length to notch},11
Akodon varius,{tail length},11
Akodon viridescens,{body length},40
Akodon viridescens,{body mass},40
Akodon viridescens,{ear length to notch},40
Akodon viridescens,{tail length},40
Akodon xanthorhinus,{body length},3
Akodon xanthorhinus,{body mass},3
Akodon xanthorhinus,{ear length to notch},3
Akodon xanthorhinus,{tail length},3
Alcelaphus buselaphus,{body length},3
